,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
479,20,840.340030649689,0.6997002753119809,0.000582598064373,5,26:04:2013 ,6,3,43.7028236,-72.2897619,1366930996,True,1.0,1201.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,16.0
251,20,598.2520327039243,0.1661811201955345,4.6161422276537374e-05,5,26:04:2013 ,10,23,43.7070538,-72.285933,1366946595,True,1.0,15599.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,25.0
659,20,260.6462092281945,0.2172051743568287,0.000181004311964,5,26:04:2013 ,21,3,43.7090128,-72.2840879,1366984998,True,1.0,38403.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,12.0
660,20,2.9922892724410106,0.0024935743937008,2.0779786614173685e-06,5,26:04:2013 ,22,3,43.7089693,-72.2841261,1366988598,False,0.0,3600.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,12.0
312,20,259.6717095524532,0.2163930912937109,0.000180327576078,5,26:04:2013 ,22,23,43.7070775,-72.2859272,1366989798,True,1.0,1200.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,39.0
252,20,3.719812480373971,0.0030998437336449,2.583203111370813e-06,5,26:04:2013 ,22,43,43.7070504,-72.285924,1366990998,False,0.0,1200.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,25.0
158,20,23.59542889513455,0.0196628574126121,1.6385714510510104e-05,5,26:04:2013 ,23,3,43.7068785,-72.2869949,1366992198,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,43.0
295,20,6.067005997648695,0.0050558383313739,4.21319860947826e-06,5,26:04:2013 ,23,23,43.7069227,-72.2870379,1366993398,False,0.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,3.0
129,20,92.322973675493,0.0769358113962441,6.41131761635368e-05,5,26:04:2013 ,23,43,43.7062501,-72.2890329,1366994598,True,1.0,1200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
130,20,0.1098104461430613,9.778312212204924e-05,8.70731274461703e-08,6,27:04:2013 ,0,22,43.7062801,-72.2889555,1366996921,False,0.0,2323.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
253,20,108.38266990269352,0.0888382540186012,7.281824099885348e-05,6,27:04:2013 ,0,42,43.7070697,-72.2859774,1366998141,True,1.0,1220.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,25.0
14,20,59.62688153403179,0.0550571389972592,5.083761680264014e-05,6,27:04:2013 ,19,41,43.7066322,-72.2870323,1367066482,True,1.0,68341.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,116.0
505,20,511.30916298023755,0.1375966531163179,3.702816284077448e-05,0,28:04:2013 ,4,43,43.7029295,-72.2896713,1367098998,True,1.0,32516.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,1.0
353,20,2.5394123664708648,0.0023447944288742,2.1650918087481975e-06,0,28:04:2013 ,5,21,43.7030781,-72.2906889,1367101281,False,0.0,2283.0,"Class of 1953 Commons, 6, Mass Row, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1953 Commons,us,16.0
254,20,546.9695477636757,0.4188128237087868,0.0003206836322425,0,28:04:2013 ,5,43,43.7070629,-72.2859915,1367102587,True,1.0,1306.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,25.0
15,20,60.51909091551872,0.0504746379612332,4.209727936716705e-05,0,28:04:2013 ,6,3,43.706622,-72.2869978,1367103786,True,1.0,1199.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,116.0
450,20,66.65470754043835,0.0510764042455466,3.913900708471006e-05,0,28:04:2013 ,11,43,43.7071458,-72.2859833,1367124186,True,1.0,20400.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
647,20,244.69654877023856,0.2030676753279988,0.0001685208923883,1,29:04:2013 ,6,23,43.7088477,-72.2862788,1367191403,True,1.0,67217.0,"37, Dewey Field Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,,us,1.0
225,20,416.50855735578466,0.3660004897678248,0.0003216173020806,1,29:04:2013 ,10,22,43.7058163,-72.2888046,1367205737,True,1.0,14334.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,27.0
313,20,174.0356643446566,0.1380140082035341,0.0001094480636031,1,29:04:2013 ,10,43,43.7070842,-72.2859673,1367206998,True,1.0,1261.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,39.0
611,20,255.9107325664694,0.2328578094326382,0.0002118815372453,1,29:04:2013 ,21,1,43.7089598,-72.2841589,1367244097,True,1.0,37099.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
314,20,259.36973509174595,0.2161414459097883,0.0001801178715914,1,29:04:2013 ,22,23,43.7070777,-72.2860451,1367248998,True,1.0,4901.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,39.0
255,20,0.9333846522883996,0.0007778205435736,6.481837863113887e-07,1,29:04:2013 ,23,23,43.707066,-72.2859562,1367252598,False,0.0,3600.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,25.0
131,20,108.23168279016892,0.0901930689918074,7.516089082650621e-05,1,29:04:2013 ,23,43,43.7062775,-72.288992,1367253798,True,1.0,1200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
